number,address0,address1,address2,king,rank,percent,people
159,충청남도,금산군,,0,145,58.0%,51746
143,충청북도,옥천군,,0,145,58.0%,50802
200,전라남도,완도군,,0,145,58.0%,50245
225,경상북도,울진군,,0,145,58.0%,48815
144,충청북도,영동군,,0,145,58.0%,47832
126,강원도,횡성군,,0,145,58.0%,46276
186,전라남도,담양군,,0,145,58.0%,46077
244,경상남도,하동군,,0,145,58.0%,45628
199,전라남도,장성군,,0,145,58.0%,45222
130,강원도,철원군,,0,145,58.0%,45084
248,경상남도,합천군,,0,145,58.0%,44621
116,경기도,연천군,,0,145,58.0%,43689
221,경상북도,성주군,,0,145,58.0%,43582
122,강원도,태백시,,0,145,58.0%,43254
243,경상남도,남해군,,0,145,58.0%,43149
157,충청남도,계룡시,,0,145,58.0%,42696
219,경상북도,청도군,,0,145,58.0%,42651
128,강원도,평창군,,0,145,58.0%,41779
26,부산광역시,중구,,1,104,41.6%,41742
190,전라남도,보성군,,0,145,58.0%,41016
202,전라남도,신안군,,0,145,58.0%,39642
246,경상남도,함양군,,0,145,58.0%,39353
127,강원도,영월군,,0,145,58.0%,38759
192,전라남도,장흥군,,0,145,58.0%,38146
147,충청북도,괴산군,,0,145,58.0%,37566
145,충청북도,증평군,,0,145,58.0%,37302
129,강원도,정선군,,0,145,58.0%,37025
218,경상북도,영덕군,,0,145,58.0%,36763
245,경상남도,산청군,,0,145,58.0%,35152
193,전라남도,강진군,,0,145,58.0%,34977
142,충청북도,보은군,,0,145,58.0%,32653
197,전라남도,함평군,,0,145,58.0%,32433
224,경상북도,봉화군,,0,145,58.0%,31843
220,경상북도,고령군,,0,145,58.0%,31842
133,강원도,인제군,,0,145,58.0%,31548
162,충청남도,청양군,,0,145,58.0%,31034
201,전라남도,진도군,,0,145,58.0%,30494
149,충청북도,단양군,,0,145,58.0%,29392
187,전라남도,곡성군,,0,145,58.0%,28386
178,전라북도,순창군,,0,145,58.0%,28040
177,전라북도,임실군,,0,145,58.0%,27807
135,강원도,양양군,,0,145,58.0%,27787
239,경상남도,의령군,,0,145,58.0%,26954
134,강원도,고성군,,0,145,58.0%,26921
188,전라남도,구례군,,0,145,58.0%,25851
174,전라북도,진안군,,0,145,58.0%,25514
216,경상북도,청송군,,0,145,58.0%,25264
131,강원도,화천군,,0,145,58.0%,24657
175,전라북도,무주군,,0,145,58.0%,24089
214,경상북도,군위군,,0,145,58.0%,23477
132,강원도,양구군,,0,145,58.0%,22378
176,전라북도,장수군,,0,145,58.0%,22230
59,인천광역시,옹진군,,0,145,58.0%,20390
217,경상북도,영양군,,0,145,58.0%,16786
226,경상북도,울릉군,,0,145,58.0%,9243
